,Names,Cause,State,Description,Phone,Address,Email,URL
118,Paripurnata Half-Way Home,differently abled,West Bengal,"Paripurnata runs a half-way-home for patients who suffer from mental illness. This home provides the patients with a safe shelter and rehabilitation and helps in their re-entry into their families. One unit of donation to this program will cover the salaries of the caretakers and staff for the care of one resident of the halfway home. The half-way-home is a temporary place, where the patients stay at for a small period. Screening of potential residents is carried out by a series of interviews with the candidate at the mental hospital. The information regarding the candidate's present condition is sought from the caregivers. On being selected, the patients are asked to come to Paripurnata for a couple of hours for a planned stay on a fixed date to see for themselves the environment of Paripurnata and meet the house staff, administrative staff and present residents. A sub-committee for monitoring the psychosocial rehabilitation process takes the final decision. Paripurnata's rehabilitation programme offers pharmacotherapy, occupational therapy, non-formal education, and counseling. Women also re-learn cooking, cleaning, shopping and other skills needed for daily living. They are regularly taken out for picnics, tours, and other social gatherings for developing social skills. The duration of the planned stay is usually for 2-3 years. As the patients get rehabilitated, they are reunited with their families under the guidance of a professional counselor. Regular follow-ups oversee the re-entry after they return to their homes. Follow-up program entitles regular home visits, family counseling and family meets. In case of relapse, they are re-admitted to the Home for short periods. The duration of the follow-up programme is for three years. The duration of time for which the patients stay at the half-way Home sometimes even go up to 9-12 years. Out of the 201 number of patients who have been admitted to the home, the program has helped in the rehabilitation of 165 patients till March 2011. When you donate to the program, you will help an underprivileged patient with mental illness get access to care and rehabilitation.Sponsor the health care expenses of a patient with mental illnessSponsor the living expenses of a patient with mental illness",+91 03324329339,"1912, Panchasayar Road, P.O. Panchasayar, Kolkata 700094 West Bengal",paripurnata@gmail.com,https://www.giveindia.org/nonprofit/paripurnata-half-way-home
119,Protsahan,livelihoods,Delhi,"Kamalini Vocational Training Centre is a joint initiative of two non-profit organizations: educational Development Initiatives (a Registered Society) and Protsahan (a Charitable Trust). Some of the women promoters of educational and Development Initiatives (EDI), after the experience in one of its projects for unprivileged girls, wanted to create an institution especially dedicated to women. Thus, was born Protsahan Charitable Trust. In 2007 a MoU was signed between EDI & Protsahan through which EDI would provide management guidance, knowledge sharing and human resources (including volunteers) to Protsahan, and Protsahan on its side would bring beneficiaries, run the training activities for underprivileged women and facilitate volunteering programs organized by EDI. In 2007 Protsahan launched its first Kamalini Vocational Training Centre in the urban village of Shahpur Jat. In 2008, a second centre opened in Kishangarh and in 2010 Protsahan and educational and Development Initiatives signed a MoU to jointly develop a new Kamalini Vocational Training Centre on the Gurgaon-Sohna Road, for which EDI acquired 5 acres of land. The new Kamalini centre operated by EDI opened in 2017. Since 2007, hundreds of women have gained valuable skills to increase their earning power and take better care of their homes and families.Kamalini has enabled many women to achieve their aspirations of becoming socially and economically independent and above all to realize their inner potential.Flexibility and care for students' real needs are the main features of their basic and vocational skills education. No formal education is required to attend the private certificated courses. Teachers adapt to the student's capacities and the length of the course is expanded to meet the need. The focus is on ""performing"" and not on ""Knowing"". Lecturing is restricted to the minimum and emphasis is given on ""hands on training"". Individual counselling with an encouraging approach is provided in order to optimize the students' performance. Training is provided to the women in the following areas: cutting and tailoring, machine and embroidery, basic IT, domestic workers programme, spoken English and soft skills.Sponsor vocational training for poor young womenSponsor computer training for a poor young woman",+91 84739 71254,33 Shahpur Jat New Delhi 110049 Delhi,minughosh@kamalini.org,https://www.giveindia.org/nonprofit/protsahan
120,Psycho Educational Society,education,Delhi,"Psycho-Educational Society (PES) is an NGO with the prime objectives of uplifting the less privileged children in rural areas by providing basic education and creating awareness among the illiterate women on family welfare, health education and personal hygiene. Eminent Psychologist and educationist Dr. T.R. Paliwal started the society after his retirement to work for the poor, underprivileged downtrodden section of society in rural areas to impart education, health, and overall development. The Secretary K.M. Paliwal has a clear mission to uplift the Rural Underprivileged section of the society by running formal educational programs and vocational training. PES established the B.D.Paliwal school in the year 2000 in the interiors of Mathura district of Uttar Pradesh. Close to 500 students have successfully completed 8th grade. In addition to imparting education in the formal mode, the school conducts skill development programs for girls and village women in tailoring, embroidery, knitting, and agriculture. Over a 100 rural women have benefited from these programs.Educate underprivileged rural children New Delhi 110088 Delhi",+91 01127479009,"B/P-139 (West), Shalimar Bagh, New Delhi 110088 Delhi",pesociety.1982@gmail.com,https://www.giveindia.org/nonprofit/psycho-educational-society
121,Purkal Youth Development Society,education,Uttarakhand,"Purkal Youth Development Society came into existence when Mr Swamy noticed gaping lacunae that existed in the rural community in terms of youth employability. The youth in that area lacked opportunities, motivation, and determination to move forth. Thus, PYDS came into being. Located in village Purkal, Dehradun, Uttarakhand, Purkal Youth Development Society (PYDS) provides quality education and holistic care through a CBSE affiliated school, from Grade I to XII to children (predominantly girls) with potential, from deeply needy and underprivileged families. This is done through a combination of high-quality academics, adequate nutrition, comprehensive health care, and full exposure to co-curricular areas, at no cost to the families. Their ultimate objective is to prepare the students for adequate employability. The parents/guardians of these students are mostly illiterate or semi-literate employed as marginal farmers, domestic helpers, farmers, drivers and watchmen. We give preference to children of needy, single mothers.For its work, the Society has been awarded numerous times. Some of these prestigious awards include Spirit of Humanity Annual Award, Life Time Achievement SABERA Award, International Social Impact Award, India NGO Awards. In its journey, the Society has impacted 839 beneficiaries, out of which 114 are adequately employed in varied fields and 161 are pursuing further education.educationUttarakhandSupport the holistic development of a childSponsor the educational journey of a poor childSponsor Aryan's education and food",+91 9639003157,"Purkal Village.P.O , Bhagawantpur, Dehradun 248009 Uttarakhand",society@purkal.org,https://www.giveindia.org/nonprofit/purkal-youth-development-society
122,Rural Development Foundation,education,Andhra Pradesh,"The Rural Development Foundation (RDF), is an Indian nonprofit organization with the mission of providing quality education for underprivileged rural children. They founded and continues to operate four schools and one junior college in Telangana State, taking a unique holistic approach to education through innovative programs and methodology. Rather than using the conventional method of rote memorization, they focus on cultivating critical thinking skills and encouraging students to understand and apply concepts. They do this through special programs such as Social Awareness, Youth Empowerment, Student Leadership, and Sports. They strive to develop students who will become empowered leaders of their communities, thus working towards the vision of a transformed and prosperous rural India. Their schools strive to create India's future leaders, people who not only respect their rich, cultural heritage but are also ready to lead their country into the future. Their constant endeavor includes their sincere attempts to inculcate into young minds a civic sense and social responsibility. Beginning with a humble enrollment of 80 students, the number of children attending RDF schools has increased to 1900, as more villagers enroll their sons and daughter in the schools.Help a poor child with books and suppliesSupport the education of underprivileged childrenSupport the midday meal of an underprivileged child",+91 40 42627502,"H. No 6-2-962/1, Khairatabad, Hyderabad 500004 Andhra Pradesh",development@rdfindia.org,https://www.giveindia.org/nonprofit/rural-development-foundation
123,Rural Health Care Foundation,health,West Bengal,"Rural Health Care Foundation (RHCF) is a non profit organisation based out of Kolkata. It offers primary healthcare to the underprivileged community through a chain of 15 primary health centres located in remote rural regions of West Bengal and the urban slums of Kolkata. Against a nominal amount of Rs. 60 ($0.89) a patient receives consultation, treatment and free medicines for a week. A project started by two brothers, has now transformed to an initiative serving millions of patients per year and generating employment for many. The organization was set up following the prolonged suffering of one of its founders with cancer, since an early age. This exposed to him and his brother, the lack of quality health care facilities in India, particularly so for the rural poor. The brothers got together with like-minded people and established RHCF which provides low cost, quality health care in rural areas based on a model that is scalable, sustainable and replicable. Anant and Arun Nevatia wound up their booming construction business and started this initiative for the poor. He realised there is no end to money making and he decided to give back to society. Taking this vision forward the brothers started this initiative to provide health care to the poor. RHCF centres run six days a week throughout the year. They have treated over 15 lakh patients in their 15 primary health care centres.Help villages and underserved areas get access to health careSponsor the cost of spectacles for the underprivileged",+91 03340082981,"Foundation33,AlexandraCourt, Old No 60/1 (New No 63), Chowringhee Road,Kolkata - 700020",shreyasnevatia@gmail.com,https://www.giveindia.org/nonprofit/rural-health-care-foundation
124,Salaam Baalak Trust- Mumbai,children,Maharashtra,"In the last twenty seven years Salaam Baalak Trust, Mumbai has helped thousands of children come off the streets and into a safe and nurturing environment. Today they provide an integrated safety net of services catering to the individual needs of street children in Mumbai, covering the entire realm of child development from physical and medical needs to encompassing the educational, creative, cognitive, social and vocational needs of the children.  The objective is to provide them every opportunity for holistic development so that they become responsible, contributing members of society. SBTM has three Day Care Centres located at Chowpatty, Andheri and Kalyan. Two of these Centres also provide Night Shelter and there is a Balwadi at the Chowpaty centre.  The Solapur Project for rehabilitation of Pardhi street children has been expanded to include a Day Care as well as a Night Shelter. There is also a Careers Project that gives direct training and subsequent employment opportunities to street children in partnership with the Business Community and other NGOs. Salaam Baalak Trust, Mumbai are also the collaborative organization with ChildLine for Thane city.Salaam Baalak Trust was born in 1989 with a portion of the proceeds from the film Salaam Bombay! by Mira Nair. The Trust began its work with an aim to give street children choices and a chance to experience the joys of childhood.Agnes Fernandes began as a Project Co-ordinator at Salaam Baalak Trust Mumbai after having spent almost 2 decades in the Corporate Sector with Proctor and Gamble. She moved to the position of educational Consultant so that she could work with all the projects at SBTM. She was Chowpatty Coordinator and that and other experience has put her in the perfect position to be the Programme Director.education of street children in Mumbai and Thane district - 620Small children (pre-schoolers) attending Balwadis in Chowpatty and our Contact Points in Sathe Nagar, Saibaba Nagar, Shanti Nagar and Kranti Nagar - 49Children getting shelter in night shelters in Andheri, Borivali, Kalyan and Solapur - 229Youth from Grades 8, 9, 10 & College taken for exposure visits to various organisations - 94Rehabilitation of street children including drop outs from Solapur, through referrals to other institutions and/ or CWC or rehabilitation with their families - 6Pardhi community children educated in schools in Solapur - 106Youth helped for Vocational training, Job placements - 3Help in providing a safe night shelter for street children",+91 22 66575439,"Netaji Subhash Marg, Charni Road (W) Mumbai 400004",kashmarfatia@gmail.com,https://www.giveindia.org/nonprofit/salaam-baalak-trust-mumbai
125,SAMUHA,differently abled,Karnataka,"SAMUHA' derives its name from a Sanskrit word, which means an organized group or society. This reflects their ideology that ""development is best sustained when undertaken through group processes "".They work with vulnerable people to improve their quality of life within defined periods of time. Their mission is ""To Improve the Quality of Vulnerable People within Defined Period of Time"". Based out of Koppal, the Samarthya wing of Samuha works specifically with the differently-abled in Karnataka and was awarded the State Award for Organisations by the Directorate of Disabled and Senior Citizens Empowerment. They are supported with 150 Full-time staff, 5 Volunteers and 46 Consultants, who work on implementing a plethora of projects ranging from the Early Intervention Centre and Mobility Aids workshop to their screening camps and Spinal Cord Rehabilitation Centre. Samarthya works across 352 villages in the Koppal and Raichur districts of Karnataka, impacting the lives of over 3700 differently-abled people every year.Help spinal cord injury patients get access to physiotherapy Kanakagiri, Gangavati Taluk,  Koppal District 584119 ",+91 85302 34449,"Vithalapur Road,  Kanakagiri, Gangavati Taluk,  Koppal District 584119  Karnataka",hampanna@samarthya.org,https://www.giveindia.org/nonprofit/samuha
126,Salaam Baalak Trust - Delhi,children,Delhi,"SBT aims to provide a sensitive and caring environment to the street and working children and other children on the margins of society. It seeks to dissolve the barriers that rob these children of the opportunity to realize their rights.In the 1980s, the making of Mira Nair’s ‘Salaam Bombay’ (award winning film) revealed the dark underbelly of Mumbai’s streets, where several childhoods were at stake. A combination of socio-economic exigencies, political circumstances and parents’ struggle for survival created a large population of children, living and working on the streets of India. All across the country, the street children, an invisible section of the society, continued an invisible struggle on the streets of Delhi too.In the day time, children grapple with the challenges of street life. When night falls, they curl up in crevices - at the end of the platform, under a staircase, in the subway - where the possibility of security exists. Ms Praveen Nair, Chairperson and Trustee at Salaam Baalak Trust testifies: “It took us quite a while to break the ice with the boys. Sanjoy (Roy) and myself would scout the railway platforms every day, chat with the boys, however they had been cheated time and again, and we weren’t the first to propose help. So, they would laugh off our intentions but we never gave up. Finally, when we answered their urgent call for help to care for a terribly sick boy, a friend of theirs, began the never-ending bond.”Having spent quality time with these children, the founding members of the Trust realised that while most of these children were forced into these circumstances, many of them had chosen this life. What set them apart, was their chutzpah, their spirit. Ms Nair adds: “We started with the idea of donating blankets to the children in the bitter winter cold. We started at the very place where GRP centre now stands. However, we were naive about their actual needs. The children told us that sleeping under a blanket invited sexual attentions from older children. They stuffed newspapers and wore layers of clothing (all the clothes they possessed, actually) which not only kept them warm but also kept the clothes from being stolen! That’s when we realised that these children needed a roof over their heads and safe spaces.”From three staff and 25 children on a balcony of the Ground Reserve Police at the New Delhi Railway station more than 32 years ago, we have now grown to over 250 staff, providing support services for approximately 10000 children a year in Delhi and the NCR region through our 7 shelter homes and 10 contact points.Over the years, Salaam Baalak Trust has successfully worked with over 1 lakh children; out of which significant numbers have been restored to their families. Every year almost 10-11 children across SBT pursue higher education. We have children who grew up to become lawyers, fashion designers, photographers, puppeteers and engineers. This year, three of our children have got more than 80 percent in their 12th board exams.Sponsor runaway children to reunite with their families2nd Floor, DDA Community Centre, Paharganj New Delhi 110055",+91 11 23586416," 2nd Floor, DDA Community Centre, Chandiwali Gali, Paharganj New Delhi 110055",contact@salaambaalaktrust.org,https://www.giveindia.org/nonprofit/salaam-baalak-trust-delhi
127,Swades Foundation,education,Raigad,"Swades Foundation was founded by Ronnie and Zarina Screwvala. Swades Foundation operates with the aim of empowering rural India. Our vision is rural empowerment through incorporating better innovative practices, modern technology and values. Our Mission is to empower 1 million rural Indians every 5-6 years, and to catalyse a lasting, irreversible change for the good. We have been on a philanthropic journey spanning 35+ years, operating at scale since 2013 as a grassroots implementation organization – with 280+ full-time staff and approximately 1000 volunteers impacting over 5.5 lakh lives across ~2500 villages in Raigad district, Maharashtra. We are now entering Nashik district beginning work with Igatpuri.Our focal point is rural empowerment through holistic, 360 degree development across 4 core themes:- Education, Health, Water and Sanitation, and Livelihoods. Our strategy is to Engage, Empower, Execute and Exit: To engage rural communities with corporates, young urban India, not-for-profit organizations and governments and empower our communities to execute programs that transform their own lives, enabling us to exit and allowing them to serve as role models and change agents for the rest of the country.educationRaigadPrevent dropouts by helping rural children complete schooling",+91 22 6109 3711,"75, Dr Annie Besant Road, Worli, Mumbai - 400018, Maharashtra",fr@swadesfoundation.org,https://www.giveindia.org/nonprofit/swades-foundation
128,Seva Sahayog Foundation,health,Pune,"Seva Sahayog Foundation is a volunteer-driven organization working in various social development areas. Our registered volunteer base is 20,000+ and  with the support of 150+ full time volunteers, 200+ corporate partners, we run various projects, which are focused towards fulfillment of deprived needs of socio-economically challenged strata of the urban slum communities. To achieve our objectives, SSF engages socially conscious corporates, groups, individuals and other NGOs with various of our programs in Maharashtra. Since 13 years Seva Sahayog Foundation is working on connecting various companies, organizations and people with needy sections of our society, mainly from areas in and around Pune and Mumbai. Our core activities are education, woman empowerment, health and environment. These include providing conducive environment at CLCs to children, education of adolescent girl children, skill-development for youths and self-sustainable empowerment of women from seva wastis/communities. Therefore, our projects are exclusively linked with seva wastis.",+9922157422,"18 - Pathik,Vrundavan Society,Near Mhatre Bridge,Navi Peth, Pune",nitin.pataskar@sevasahayog.org,https://www.giveindia.org/nonprofit/seva-sahayog-foundation
129,Society of Community Health Oriented Operational Links (SCHOOL),elderly,Maharashtra,"SCHOOL (Society of Community Health Oriented Operational Links), a not-for-profit organization implements its flagship initiative 'Healthy Ageing' which focuses on building an age-friendly eco-system for the elderly population in India. We aim to provide comprehensive support for the elderly people (aged 60 years and above) We are working with the families of the elderly, working with the government system for schemes and programs for the elderly.",+9958823373,"Pune Office: Opp to Dabhade Ration Shop, Kasturba Vasahat, Pune 411007Delhi Office: A-16, Sukhdev Vihar, New Delhi 110025",bpatil@school4dev.org,https://www.giveindia.org/nonprofit/society-of-community-health-oriented-operational-links-school
130,Samerth Charitable Trust,education,Gujarat,"The vision of the organisation is to build a world on the pillars of equal opportunities, access to resources, gender equality, democratic governance, participatory learning and respect of diverse cultures.With a presence in both rural as well as urban areas, Samerth primarily works with women and children. Apart from catering to the educational needs of children between the ages of 3 and 6, they also run centres that double up both as counseling centres for women suffering from domestic violence as well as informational hubs where men and women can access information regarding various government schemes. They also work on providing water security and irrigation in the arid region of Kutch and on capacity building of underprivileged women in the rural areas they operate in.SAMERTH was started to create a humane, sustainable and equitable society through strengthening peoples' capacities and equipping community institutions so that they are informed and are able to access their rights to have a human existence. The programme is developed as per the requirement of the community. In Kutch, they focus on water availability and leveraging resources around it. In the city of Ahmedabad, the organisation has working with urban poor and giving them access to education and developing leadership amongst women and adolescent girls and boys. In Chattisgarh, the focus is to work with tribal communities and create and facilitate the process of accessing entitlements and education.No. of children impacted - 55No. of people impacted - 236No. of children receiving nutrition - 704No. of families impacted - 30No. of children availing the facility - 22Gazala Paul has a Masters in Social Work (MSW) from Indore School of Social Work, (Devi Ahilya University), Indore, India in 1987 and a Masters in ""Coexistence and Conflict Management"" from Brandeis University,Massachusetts, USA in February 2006. Since May 1999, she has been the CEO of Samerth. Since April 2006 she has been a consultant to Paul Hamlyn Foundation, UK as Advisor for developing programme on accessing quality education for the tribals and urban poor, disability rights, forest rights, enabling women's role in local governance and addressing issue of violence against women for the west India programme. She has also worked with with Oxfam-Great Britain as Project Officer from 1992 to 1999 for the Gujarat and Rajasthan States of India developing programme on rights based issues for the vulnerable communities and mitigation strategy for disaster management.",+91 07926829004,"Q-402, Shrinandnagar, Part 2, Vejalpur Ahmedabad 380051 Gujarat",iqbalsamerth@gmail.com,https://www.giveindia.org/nonprofit/samerth-charitable-trust
131,Sapna,children,Rajasthan,"Sapna was created by a group of professionals who shared a dream to work on a people-centric model of development in areas of public health, education, women empowerment, community development and social welfare.  Inspired by Gandhian ideals of social change, their primary objective is to: Empower the poor and marginalized; Provide shelter to the sick and destitute; Promote community health programmes and services; Support literacy centers and e-learning; Facilitate livelihood programmes; Help the poor access information and resources; Work for environment protection and conservation. Their basic focus is to help those who are the most vulnerable and are in dire need of help.They believe that development has to be holistic to break the vicious cycle of poverty and wish to bring about visible change. They work by focusing energies in these sectors as well as building their understanding of the related issues. They believe that any organization, or for that matter, any individual, whose fundamentals are based on the virtues of honesty, ownership towards our society and regard to human dignity, are bound to grow in the right direction and the last 10 years have been a testimony to this philosophy.Support the nutrition of poor girls to aid educationHelp sick and destitute adults live with dignityEducate an underprivileged girl childHelp provide cataract surgery to people in RajasthanHelp provide counseling to women",+91 144 2767169,"Flat No. 8086, Pocket D8, Vasant Kunj, Delhi - 110070",ngo.sapna@gmail.com,https://www.giveindia.org/nonprofit/sapna
132,Sarada Ramkrishna (Sishu O Mahila) Sevashram,women,West Bengal,"Sevashram initiated destitute/orphan residential girls' home with 25 rural poor girls. It was then sanctioned by the Social Welfare Department of both Central & State Government. At present, more than 150 children are being nurtured and cared with the facilities of food, education, medical treatment, recreation, cultural program and child sponsorship program. Self Help Groups, health, education, awareness camps, and socio-cultural programs are implemented by the organisation in South Parganas of West Bengal.elderlyWest BengalSponsor the nutrition and healthcare of poor senior citizens$ 12.58",+91 98744 79281,"P.O. Hotar, P.S. Magrahat,South 24 Paraganas 743610",saradarks@gmail.com,https://www.giveindia.org/nonprofit/sarada-ramkrishna-sishu-o-mahila-sevashram
133,"Sathi, Bangalore",children,Karnataka,"In 1992, an organization called Prerana had been working with farmers in North Karnataka's Raichur district. Prerana offered its office as a shelter for children, who were mostly living on Raichur railway station.Over the next 3 to 4 years, the activities with the children expanded and recreational activities were included such as picnics, skill training programs like cycle-repair, screen printing and so on. Although the attempts to place them in jobs met limited success, the engagement with children continued. After a family adopted one child, they realized that many of these children were not abandoned by their families, but had opted to 'flee' because of certain reasons (which in most cases were not very serious) without actually thinking of the consequences.The concept of 'restoration' or 'home-placement' of children thus began to take shape. Ground research revealed that the parents are also distraught when the child leaves; and they often attempt to search the child without any leads. There was a zeal within the team members to work on this issue in a dedicated manner and a new organization was carved out of Prerana. SATHI was born.Founded in 1992, SATHI was formally registered in 1997 in Raichur, Karnataka. With the growth of the organization and expansion of work, SATHI moved its head office to Bangalore. Over the years, SATHI has worked in more than 40 different locations in 14 states across India and has helped nearly 60,000 children reunite with their families.Passionate about children and their well-being, Pramod Kulkarni founded SATHI with an initial focus on providing immediate care and opportunities of resettlement for run-away children. Experience and research convinced him that run-away children could be settled back with families. An action-oriented individual, he decided to demonstrate this possibility - in large numbers and at a national scale.SATHI continued to work with Raichur as a base until the year 2000. During this phase, the work was restricted to Raichur and Wadi in Karnataka and Guntakal in Andhra Pradesh. From 2000 to 2006, the work expanded to cover other locations in Karnataka, Andhra Pradesh and Maharashtra. The year 2000 also marked the beginning of SATHI's work in Government Children Homes.The year 2006 marked a new phase in SATHI's history, when it began to expand its geographical spread across the country through collaborations with other NGOs. Between 2006 and 2010, SATHI collaborated with more than 30 different organizations and covered railway stations in 10 states including Gujarat, Rajasthan, Uttar Pradesh, Bihar, West Bengal, Delhi and Madhya Pradesh.Help reunite a runaway child with family",+91 80235 73088,"# 73, 1st Floor, ""Kamadenu"", 5th Main Road, Mathikere Extension, Bangalore, Karnataka, 560 054",shobhafernandes.sathi@gmail.com,https://www.giveindia.org/nonprofit/sathi-bangalore
134,Shramik Bharti,women,Uttar Pradesh,"Shramik Bharti is a Kanpur based NGO which works with both rural and urban communities. This includes the urban slums of Kanpur (once known as the Manchester of the East) as well as inaccessible rural areas characterised by large tracts of saline lands, ravine areas and extreme poverty. With changing economic scenarios, the sources of livelihood are getting equally affected and both urban and rural communities have poor capacities for seeking and adopting newer and additional sources of livelihood. Women and children are the worst sufferers of these inadequacies with men often migrating to alternative locations for livelihood. It is with this perspective that Shramik Bharti works for the empowerment of the poor and underprivileged with special focus on women and children. Their mission is to facilitate and foster people's democratic institutions.Help poor farmers get access to food grains for their farms and homes",+91 05122580823,"392, Vikas Nagar, Kanpur 208024Uttar Pradesh",rakesh@shramikbharti.org.in,https://www.giveindia.org/nonprofit/shramik-bharti
135,ActionAid Association,women,Delhi,"ActionAid India is part of a global federation and a full affiliate of ActionAid International that has presence in over 40 countries worldwide. Since 1972, the poor and the excluded have been at the centre of their programs in India. In 2006, they got registered as an Indian organisation called ActionAid Association. They are primarily a human rights organization. They work for the rights of disadvantaged women and children ensuring that they have good means of livelihood. ActionAid has empowered its women to take up roles in the society which till now were dominated by males, such as truck drivers, cab drivers etc. After a public hearing of a rape case in Gwalior, ActionAid set up the crisis centre in Bhopal. Gauravi is the first of its kind in India with the help of the Department of Health In 2014 to provide rights to victims of domestic and sexual abuse, belonging to vulnerable community chiefly. There are 22 Gauravi centres across the country - 3 in Madhya Pradesh, 17 in Uttar Pradesh and the most recent ones started in 2017 in Manipur and in Tuticorin. Till now, 40,000 cases have been registered in the centers. The cases that are looked into are: rape, domestic violence, molestation, minor cases, witch branding, victims of trafficking, women with mental illness, destitute women, and male or minor male victims of sexual harassment.Help an abuse victim fight for justiceR-7 Hauz Khas Enclave, New Delhi, Pincode, 110016",+91 11 40640500,"R-7 Hauz Khas Enclave, New Delhi, Pincode, 110016",Avinash.sapru@actionaid.org,https://www.giveindia.org/nonprofit/actionaid-association
136,Sikshana Foundation,education,Karnataka,"According to data, 76 percent of the rural households in India send their children to government or government-aided schools. The ASER assessment data of all Indian states submitted by the organisation Pratham states that only 40 percent of the children studying in V class in rural government schools in India can read level 2 (Class II) text and only 20 percent of them can do division. Sikshana felt the need to improve the learning levels among children studying in government school. The organisation was started by a group of like-minded professionals in the year 2002 and began its work by adopting a few government primary schools based in and around Bangalore. Today, Sikshana reaches out to children across 44,000 schools in the states of Karnataka, Andhra Pradesh, Maharashtra.Since inception, they have been working on enhancing the learning levels delivered by Govt. Schools in India with a Vision to evolve sustainable and replicable models for an effective and decentralized public school system. Their Mission is to synergize with the Government at all levels, share and transfer knowledge along with designing and implementing student centric learning experiences in the Govt. Schools.",+91 80 26629890,"41, K R Road, Basavangudi, Bangalore, 560061 Karnataka",sudeepta@sikshana.org,https://www.giveindia.org/nonprofit/sikshana-foundation
137,Cure International India Trust,health,New Delhi,"CURE International India Trust (CIIT) has been working with children born with clubfoot, and their parents for the last 11 years; doing commendable work by providing affordable and effective non-surgical interventions to permanently correct the clubfoot. Using the Ponseti Technique, they have effectively treated over 50,000 children and currently working with an additional 15,000; offering free, world class treatment through 314 designated weekly clubfoot clinics in partnership with 29 state Governments. Over 5500 healthcare professionals are trained in the Ponseti Method, which includes serial casting and long term follow up with special shoes (Foot Abduction Braces). The ultimate goal is to create designated clubfoot clinic in all the 715 districts in India in the next 5 years so that every child born with clubfoot gets access to treatment immediately after the birth.",+8800020500,"A3/149, Janakpuri, New Delhi 110058","direct.ciit@gmail.com, projects.north.ciit@gmail.com",https://www.giveindia.org/nonprofit/cure-international-india-trust
138,Social Action for Manpower Creation,children,Rajasthan,"Working since 1984 for the children, Amitkumar Banerjee realized that children need an integrated support for development. At that time children of socially victim women, children of convicts received no support from government or any agency. Mr.Banerjee felt that every child needs shelter, care and protection and opportunity to grow. Thus SAMPARC - Social Action for Manpower Creation was born as an organization in 1990. The journey of SAMPARC began with only 7 orphans and today over 500 children - orphan, children of socially victim women, destitute, and needy and also children of convicts, all of them are living under one shelter known as Balgram of SAMPARC organization. They do not have the social stigma of whatever background they came from. They grow freely like other common children. They grow with all cultural and social values. At the same time, they learn various social and cultural values and traditions and are exposed to community life. The organization has served around 500 children. In 2016, Amit Banerjee was awarded the Samajik Puraskar Award by the Parampujya Swami Ramdevji Maharaj Yog Diksha & Rashtranirman Sabha for special contribution towards the care and protection and holistic development of orphan and destitute children.Help a poor child get education and residential care Pune 410507 Maharashtra",+91 2114 227335,"9 Varad Apartment,  292 Yashwantnagar,  Talegaon Dabhade, Pune 410507 Maharashtra",samparc6@gmail.com,https://www.giveindia.org/nonprofit/social-action-for-manpower-creation
139,Ritham Special School for the Mentally Challenged Children,differently abled,Tamil Nadu,"Mr. Kathiresan's inspiration to start Ritham Special School for the Mentally Challenged came inadvertently from David, an intellectually challenged child, who had excellent memory but very poor associative skills. Being a former govt school headmaster in Tamil Nadu and having won the Best Teacher award from both the Central and State governments, Mr. Kathiresan was touched by his interaction with David and decided to start a school for children like him. The school follows the BASIC - MR scale (Behavioural Assessment Scale for Indian Children - Mentally Retarded) to assess each student individually and fix their syllabus accordingly. Students' progress is evaluated on a quarterly basis, following which their syllabus is re-fixed. The teacher-student ratio in the school is 1: 8. The total number of students in the school is 100, out of which 73 students come from underprivileged backgrounds and require financial assistance. Children who stay far away and cannot afford the transportation cost are given free transportation facility as well.Gift special education to a mentally challenged child391, Dharmaraja big street,Periya kadai bazar, Opposite to periya chavadi, Rajapalayam, Tamilnadu 626117",+91 04563226040,"391, Dharmaraja big street,Periya kadai bazar, Opposite to periya chavadi, Rajapalayam, Tamilnadu 626117",rithamschool@yahoo.co.in,https://www.giveindia.org/nonprofit/ritham-special-school-for-the-mentally-challenged-children
140,Society of Friends of the Sassoon Hospitals (SOFOSH),children,Maharashtra,"Society of Friends of the Sassoon Hospitals (SOFOSH) is a voluntary charitable trust that was formed by a group of public-spirited citizens of Pune who aimed to supplement the medical services provided by the hospitals through a range of humanitarian services for crisis-affected patients and their families, and to support the hospital itself by providing much-needed facilities. Patients from all walks of life, especially those living 'Below Poverty Line' (BPL) from the city of Pune and adjacent rural areas, come to seek treatment at this medical center. With 1800 beds, they have treated 11,202 needy patients, provided care and protection to 168 destitute and orphaned children and supported 38 mentally and physically disabled children.  Their moral efforts were awarded by the Mukesh Pratisthan Charitable Trust and the Ninad Pariwar, Pune for the social work and the care given to orphaned children. Their staff of over 160 hardworking members believes in working for the children who are deprived of the basic needs and to serve families in times of medical and socio-economic crisis.Support the living expenses of an orphan childBelow Ward No. 31/32, Sassoon General Hospitals,  Pune 411001 Maharashtra",+91 20 26124660,"Below Ward No. 31/32, Sassoon General Hospitals,  Pune 411001 Maharashtra",shubhangi@sofosh.org,https://www.giveindia.org/nonprofit/society-of-friends-of-the-sassoon-hospitals-sofosh
